the_geom,GEOID20,COUNCIL_DI,Total Population 2020,Total Hispanic Pop 2020,Total NH White 2020,Total NH Black 2020,Total NH AM Indian AK Native 2020,Total NH Asian 2020,Total NH Native Hawaiian 2020,Total NH Other Races 2020,Total NH Two or More Races 2020,Total Housing Units 2020,Occupied Housing Units 2020,Vacant Housing Units 2020,GEOID20_1,Total City Sponsored Affordable Units,Total Citywide Affordable Units,TRACTCE10,GEOID10,NAME10,GeoIDNum,GEOID_1,GEOID1,NAME_1,GENTRIFICATION Typology,VULNERABLE Pop,DEMOGRAPHIC Change,HOUSING_MARKET,DISPLACEMENT RISK,DESCRIPTION,FIPS,Geographic,Total_Population_2019,White (Not Hispanic)_2019,POC%_2019,White (Not Hispanic)%_2019,Population 25 and older_2019,Education: Less than HS_2019,Education: HS Graduate_2019,Education: Some College_2019,Education: Bachelors_2019,Percent without Bachelors_2019,Percent with Bachelors_2019,Pop under 18 for whom poverty is determined_2019,Population below poverty_2019,Percent Child Poverty_2019,Occupied Housing Units_2019,Owner Occupied Housing Units_2019,Renter Occupied Housing Units_2019,Percent Renter Occupied Units_2019,Percent Owner Occupied Units_2019,Sum of Lowmoduniverse_2019,Sum of Lowmod_2019,Percent Lowmod_2019,Median Family Income_2019,Median Home Value_2019,Median Gross Rent_2019,Quadrant_2019,Percent severely rent burdened_2019
"MULTIPOLYGON (((-97.74903862358497 30.191393200484463, -97.74961662342433 30.190497200479584, -97.75010062470409 30.190746200194248, -97.7510906241793 30.191963199873967, -97.75121162495027 30.192303200823005, -97.75096262438406 30.1926512009151, -97.75034662425871 30.19273220088578, -97.75026862477925 30.19228420085483, -97.7499946244595 30.19191620027073, -97.74903862358497 30.191393200484463)))",484530024123014,2,92,76,15,0,0,0,0,0,1,23,23,0,484530024123014,0,0,002412,48453002412,24.12,48453002412,48453002412,48453002412,William Cannon,Stable,YES,NO,Stable,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002412,14000US48453002412,6165,622,0.84,0.100892133009,3863,1650,1307,636,270,0.93,0.07,1655,529,0.32,1482,912,570,0.38,0.62,6065,4300,0.71,56389,126800,1579,Southeast,0.26
"MULTIPOLYGON (((-97.73502862334274 30.259684214497394, -97.73545462380852 30.258829214122386, -97.7364446245679 30.259129213565434, -97.73629162429474 30.25966021399826, -97.7362506245998 30.259803214450844, -97.73617162413493 30.260076214716833, -97.73502862334274 30.259684214497394)))",484530010001007,3,26,17,9,0,0,0,0,0,0,17,17,0,484530010001007,0,0,001000,48453001000,10,48453001000,48453001000,48453001000,East Cesar Chavez -Holly,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001000,14000US48453001000,3533,1698,0.65,0.480611378432,3011,378,485,697,1451,0.52,0.48,392,0,0.00,1501,817,684,0.46,0.54,3640,2135,0.59,57269,440100,1302,East,0.22
"MULTIPOLYGON (((-97.7167086205077 30.282670219659973, -97.71776662067454 30.282477218991662, -97.71796461987911 30.28347121954443, -97.71692962039232 30.283648219317, -97.7167086205077 30.282670219659973)))",484530004023023,1,24,2,21,0,1,0,0,0,0,13,13,0,484530004023023,0,1,000402,48453000402,4.02,48453000402,48453000402,48453000402,Blackland,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453000402,14000US48453000402,3661,1860,0.12,0.508057907675,2832,241,568,431,1592,0.44,0.56,515,50,0.10,1640,593,1047,0.64,0.36,3055,1705,0.56,60950,398200,1248,East,0.33
"MULTIPOLYGON (((-97.64422960245622 30.299355226230556, -97.64460460303636 30.298571225508002, -97.64558960374028 30.29902122591085, -97.64502160295025 30.299837225470053, -97.64424260289397 30.299922224873466, -97.64422960245622 30.299355226230556)))",484530022221016,1,43,31,4,5,0,1,0,0,2,15,15,0,484530022221016,0,0,002202,48453002202,22.02,48453002202,48453002202,48453002202,Daffin Gin Park,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002202,14000US48453002202,9747,456,0.91,0.046783625731,5138,2192,1634,745,567,0.89,0.11,3621,1628,0.45,2615,1271,1344,0.51,0.49,8490,6780,0.80,44314,94900,1211,Northeast,0.41
"MULTIPOLYGON (((-97.70436961526102 30.22639820955018, -97.70469661454942 30.22583020909705, -97.70481461428716 30.22565720944177, -97.70483861405144 30.22561620942516, -97.70622361396656 30.226282209228078, -97.70620261526663 30.22631920869643, -97.70610361561633 30.22649520893795, -97.70574561459563 30.227040209528024, -97.70436961526102 30.22639820955018)))",484530023252006,3,13,5,2,5,0,0,0,1,0,1,1,0,484530023252006,0,0,002318,48453002318,23.18,48453002318,48453002318,48453002318,Pleasant Valley South,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002318,14000US48453002318,7215,1299,0.85,0.180041580042,3824,932,754,1138,1000,0.74,0.26,1492,158,0.11,2682,609,2073,0.77,0.23,10290,8985,0.87,54661,207500,924,Southeast,0.23
"MULTIPOLYGON (((-97.71596162196647 30.32541722790827, -97.71595962226975 30.325398227816063, -97.71586962233692 30.324775227372992, -97.71582962215804 30.32457622767614, -97.71578162160067 30.324410227776784, -97.7156256218528 30.323983227996226, -97.7155826226253 30.323881227313613, -97.71567062186418 30.32385022819393, -97.7157076221351 30.323934227206912, -97.71588262171812 30.32440922816148, -97.71596562167056 30.324800227855118, -97.71602062162768 30.325134228349317, -97.71605962210296 30.325418227853376, -97.71612162234405 30.32605522771163, -97.71614362235727 30.326473228276484, -97.71613962239381 30.32700422812095, -97.71613662198797 30.327049227507608, -97.71608362258854 30.32704922751334, -97.71604462195371 30.327049228128605, -97.71604562280143 30.326996228297304, -97.71601662155139 30.32610022836555, -97.71599462192123 30.325773227937624, -97.71596162196647 30.32541722790827)))",484530015034025,4,0,0,0,0,0,0,0,0,0,0,0,0,484530015034025,0,0,001503,48453001503,15.03,48453001503,48453001503,48453001503,Highland South,Continued Loss,NO,YES,Appreciated,Chronic Displacment,Vulnerable populations have been displaced; significant demographic change has occurred; housing market is high value and appreciated,48453001503,14000US48453001503,4390,2577,0.00,0.58701594533,3448,259,417,684,2088,0.39,0.61,469,69,0.15,1974,694,1280,0.65,0.35,3985,2175,0.55,88006,338300,1319,North,0.26
"MULTIPOLYGON (((-97.71539462352301 30.352164233693955, -97.71664862333891 30.350284232732005, -97.71695262333786 30.35007023296219, -97.71715162391527 30.349975232831834, -97.71737162403043 30.34992723197946, -97.71768162388516 30.349914232360522, -97.71850935429566 30.350281675609665, -97.71832462373672 30.350586232866444, -97.71825562432367 30.35067023240169, -97.71818662386474 30.350717232812652, -97.71808962401524 30.35076623208693, -97.71801562440511 30.350808232502793, -97.71795862437553 30.350868233153594, -97.71781062342579 30.351088233303436, -97.71744962373273 30.351699232802744, -97.71737062413773 30.3518422329334, -97.7172816237656 30.351966233051897, -97.7163756233686 30.353383232865493, -97.7163556232315 30.353426233224837, -97.71634362420092 30.353470233333603, -97.71634662293096 30.35350823386339, -97.7158906232149 30.353309233817505, -97.71626462433623 30.352614234028934, -97.71539462352301 30.352164233693955)))",484530405002019,7,236,202,19,5,0,5,0,2,3,78,69,9,484530405002019,0,0,001818,48453001818,18.18,48453001818,48453001818,48453001818,Wooten,Stable,YES,NO,Appreciated,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453001818,14000US48453001818,6714,2172,0.92,0.323503127793,4246,858,1357,602,1429,0.66,0.34,2028,947,0.47,2134,960,1174,0.55,0.45,5735,3910,0.68,48047,346400,1136,North,0.37
"MULTIPOLYGON (((-97.73570681913445 30.15525401342542, -97.73569909989276 30.155234436717745, -97.73568901622463 30.155220429049045, -97.7355539749305 30.155026852551227, -97.73552086904859 30.154975157188716, -97.73543622324188 30.154857925816454, -97.73543212506466 30.154851818646275, -97.73529261885484 30.154637193615436, -97.73602561845487 30.15502419386842, -97.7357946184804 30.155466193550403, -97.73570681913445 30.15525401342542)))",484530024321042,2,0,0,0,0,0,0,0,0,0,0,0,0,484530024321042,0,0,002432,48453002432,24.32,48453002432,48453002432,48453002432,Pilot Knob,Dynamic,YES,YES,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002432,14000US48453002432,2982,851,0.00,0.285378940309,1989,521,463,391,614,0.69,0.31,690,177,0.26,888,766,122,0.14,0.86,2085,1365,0.65,77829,211300,1422,Southeast,0.25
"MULTIPOLYGON (((-97.6347974545642 30.276008014681693, -97.63493051176442 30.275522224281268, -97.63533727713495 30.27451996915763, -97.63558560027222 30.274854221364837, -97.63590959992175 30.27529022114327, -97.63599559982558 30.27538422133095, -97.6362806001015 30.275697221103112, -97.63680660008721 30.276273221365507, -97.63727159998015 30.276782221415495, -97.63728160079445 30.27679922118232, -97.63663760051764 30.277808220862667, -97.63648559933125 30.27804722151034, -97.6364545995587 30.278009221215562, -97.63591659983118 30.27734522126183, -97.63582659963255 30.277234221144784, -97.6347974545642 30.276008014681693)))",484530022111031,1,32,15,0,13,0,0,0,3,1,11,11,0,484530022111031,0,0,002211,48453002211,22.11,48453002211,48453002211,48453002211,Thunderbird,Early: Type 1,YES,NO,Accelerating,Active Displacement,Vulnerable populations present; active demographic change; accelerating or appreciating housing market,48453002211,14000US48453002211,3069,483,1.00,0.157380254154,1978,478,462,571,467,0.76,0.24,856,88,0.10,999,775,224,0.22,0.78,2510,1365,0.54,82902,201700,1319,Northeast,0.29
"MULTIPOLYGON (((-97.72884461958986 30.199876203272066, -97.7293596191372 30.19923220311518, -97.73027561968894 30.199709202266344, -97.73072161910041 30.19983320304997, -97.73109661998672 30.19987220278342, -97.73147462029326 30.199845202144346, -97.73205462026141 30.199746202006352, -97.73223362009779 30.200497203060305, -97.73174862056352 30.200591202595938, -97.73144262014465 30.200633203176498, -97.73118262008484 30.20064220272081, -97.73096961992316 30.200646202444272, -97.73076962036879 30.200633203414952, -97.73059862015488 30.200614202862198, -97.73038061952302 30.200577203250653, -97.7301576190622 30.200521203027442, -97.72992561982272 30.200452202621214, -97.72976761892308 30.200401203023176, -97.72954561975955 30.20031220278412, -97.72884461958986 30.199876203272066)))",484530024472026,2,133,86,37,3,0,3,0,0,4,36,36,0,484530024472026,0,0,002431,48453002431,24.31,48453002431,48453002431,48453002431,Mckinney,Susceptible,YES,NO,Adjacent,Vulnerable,Vulnerable populations present; no significant demographic change; some areas are near high value and high appreciation areas,48453002431,14000US48453002431,9899,1762,0.72,0.177997777553,5958,1655,1472,1009,1822,0.69,0.31,3092,814,0.26,2666,1798,868,0.33,0.67,8165,4925,0.60,63689,201300,1028,Southeast,0.24
